,steps,answer,gt_answer,question_idx,em,reward,f1
51,2,NOT ENOUGH INFO,NOT ENOUGH INFO,2662,1,1,1
52,1,NOT ENOUGH INFO,NOT ENOUGH INFO,5571,1,1,1
53,2,REFUTES,SUPPORTS,1176,0,0,0
54,1,REFUTES,NOT ENOUGH INFO,2547,0,0,0
55,1,REFUTES,REFUTES,3485,1,1,1
56,2,REFUTES,REFUTES,1858,1,1,1
57,1,NOT ENOUGH INFO,NOT ENOUGH INFO,4784,1,1,1
58,2,SUPPORTS,SUPPORTS,1533,1,1,1
59,1,NOT ENOUGH INFO,REFUTES,4450,0,0,0
60,1,REFUTES,REFUTES,2132,1,1,1
61,2,REFUTES,REFUTES,6996,1,1,1
62,1,NOT ENOUGH INFO,NOT ENOUGH INFO,339,1,1,1
63,1,NOT ENOUGH INFO,SUPPORTS,3169,0,0,0
64,2,REFUTES,REFUTES,1727,1,1,1
65,2,NOT ENOUGH INFO,REFUTES,1490,0,0,0
66,2,SUPPORTS,SUPPORTS,3317,1,1,1
67,2,SUPPORTS,SUPPORTS,214,1,1,1
68,2,REFUTES,REFUTES,3805,1,1,1
69,1,REFUTES,REFUTES,1757,1,1,1
70,1,SUPPORTS,SUPPORTS,4330,1,1,1
71,1,NOT ENOUGH INFO,NOT ENOUGH INFO,2287,1,1,1
72,1,NOT ENOUGH INFO,SUPPORTS,3824,0,0,0
73,2,REFUTES,SUPPORTS,1781,0,0,0
74,1,NOT ENOUGH INFO,NOT ENOUGH INFO,2294,1,1,1
75,1,NOT ENOUGH INFO,SUPPORTS,2811,0,0,0
76,2,REFUTES,NOT ENOUGH INFO,6916,0,0,0
77,1,REFUTES,REFUTES,6404,1,1,1
78,1,REFUTES,REFUTES,2823,1,1,1
79,2,NOT ENOUGH INFO,SUPPORTS,2825,0,0,0
80,1,REFUTES,NOT ENOUGH INFO,2826,0,0,0
81,2,REFUTES,REFUTES,5388,1,1,1
82,1,NOT ENOUGH INFO,REFUTES,6414,0,0,0
83,1,NOT ENOUGH INFORMATION,NOT ENOUGH INFO,2319,0,0,0
84,1,NOT ENOUGH INFO,SUPPORTS,2835,0,0,0
85,1,NOT ENOUGH INFO,REFUTES,797,0,0,0
86,2,REFUTES,NOT ENOUGH INFO,6432,0,0,0
87,2,REFUTES,NOT ENOUGH INFO,807,0,0,0
88,2,NOT ENOUGH INFO,SUPPORTS,1320,0,0,0
89,2,REFUTES,REFUTES,2866,1,1,1
90,2,NOT ENOUGH INFO,NOT ENOUGH INFO,3395,1,1,1
91,2,REFUTES,REFUTES,5965,1,1,1
92,2,NOT ENOUGH INFO,NOT ENOUGH INFO,851,1,1,1
93,1,NOT ENOUGH INFO,NOT ENOUGH INFO,5980,1,1,1
94,2,SUPPORTS,NOT ENOUGH INFO,1885,0,0,0
95,1,REFUTES,NOT ENOUGH INFO,2925,0,0,0
96,1,NOT ENOUGH INFO,NOT ENOUGH INFO,1902,1,1,1
97,1,REFUTES,REFUTES,2927,1,1,1
98,2,NOT_ENOUGH_INFO,SUPPORTS,7026,0,0,0
99,1,NOT ENOUGH INFO,SUPPORTS,3446,0,0,0
100,1,NOT ENOUGH INFORMATION,NOT ENOUGH INFO,6519,0,0,0
101,1,NOT ENOUGH INFO,REFUTES,6524,0,0,0
102,1,NOT ENOUGH INFO,NOT ENOUGH INFO,6014,1,1,1
103,1,NOT ENOUGH INFO,REFUTES,5503,0,0,0
104,1,NOT ENOUGH INFO,REFUTES,6527,0,0,0
105,2,SUPPORTS,SUPPORTS,3459,1,1,1
106,2,REFUTES,NOT ENOUGH INFO,909,0,0,0
107,1,NOT ENOUGH_INFO,SUPPORTS,3477,0,0,0
108,1,NOT ENOUGH INFO,SUPPORTS,1429,0,0,0
109,1,NOT ENOUGH INFO,SUPPORTS,919,0,0,0
110,1,REFUTES,NOT ENOUGH INFO,5016,0,0,0
111,1,REFUTES,REFUTES,4506,1,1,1
112,2,NOT ENOUGH INFO,REFUTES,923,0,0,0
113,1,NOT_ENOUGH_INFO,NOT ENOUGH INFO,1439,0,0,0
114,2,REFUTES,REFUTES,416,1,1,1
115,1,NOT ENOUGH INFO,REFUTES,7081,0,0,0
116,1,NOT ENOUGH INFO,SUPPORTS,3498,0,0,0
117,1,SUPPORTS,SUPPORTS,4525,1,1,1
118,1,REFUTES,REFUTES,3511,1,1,1
119,1,NOT ENOUGH_INFO,SUPPORTS,4025,0,0,0
120,1,NOT ENOUGH INFO,NOT ENOUGH INFO,6586,1,1,1
121,1,NOT ENOUGH INFO,REFUTES,7100,0,0,0
122,1,REFUTES,NOT ENOUGH INFO,3522,0,0,0
123,2,SUPPORTS,SUPPORTS,6596,1,1,1
124,1,NOT ENOUGH INFO,SUPPORTS,7111,0,0,0
125,1,REFUTES,NOT ENOUGH INFO,457,0,0,0
126,1,REFUTES,REFUTES,6090,1,1,1
127,1,NOT ENOUGH INFO,SUPPORTS,5071,0,0,0
128,1,NOT ENOUGH INFO,SUPPORTS,4050,0,0,0
129,1,NOT ENOUGH INFO,NOT ENOUGH INFO,5074,1,1,1
130,1,REFUTES,NOT ENOUGH INFO,6102,0,0,0
131,2,SUPPORTS,SUPPORTS,3543,1,1,1
132,2,SUPPORTS,SUPPORTS,2521,1,1,1
133,1,REFUTES,REFUTES,476,1,1,1
134,1,REFUTES,REFUTES,4586,1,1,1
135,1,NOT ENOUGH INFO,REFUTES,2544,0,0,0
136,1,REFUTES,NOT ENOUGH INFO,1009,0,0,0
137,1,NOT ENOUGH INFO,SUPPORTS,4592,0,0,0
138,2,SUPPORTS,NOT ENOUGH INFO,2033,0,0,0
139,2,NOT ENOUGH INFO,NOT ENOUGH INFO,5630,1,1,1
140,2,SUPPORTS,SUPPORTS,4097,1,1,1
141,1,NOT ENOUGH INFO,SUPPORTS,5762,0,0,0
142,2,NOT ENOUGH INFO,REFUTES,5123,0,0,0
143,2,NOT ENOUGH INFO,NOT ENOUGH INFO,4739,1,1,1
144,1,NOT ENOUGH INFORMATION,REFUTES,2053,0,0,0
145,2,SUPPORTS,SUPPORTS,7174,1,1,1
146,1,NOT_ENOUGH_INFO,SUPPORTS,3594,0,0,0
147,2,REFUTES,REFUTES,1548,1,1,1
148,2,REFUTES,REFUTES,6669,1,1,1
149,1,NOT ENOUGH INFO,SUPPORTS,4237,0,0,0
150,1,NOT_ENOUGH_INFO,REFUTES,1551,0,0,0
151,2,REFUTES,SUPPORTS,3725,0,0,0
152,1,SUPPORTS,SUPPORTS,6800,1,1,1
153,1,REFUTES,REFUTES,3216,1,1,1
154,2,REFUTES,NOT ENOUGH INFO,4116,0,0,0
155,1,NOT ENOUGH INFO,NOT ENOUGH INFO,1557,1,1,1
156,2,SUPPORTS,NOT ENOUGH INFO,1560,0,0,0
157,2,REFUTES,REFUTES,4248,1,1,1
158,1,NOT_ENOUGH_INFO,SUPPORTS,5274,0,0,0
159,1,SUPPORTS,SUPPORTS,156,1,1,1
160,2,SUPPORTS,SUPPORTS,3618,1,1,1
161,1,REFUTES,REFUTES,5155,1,1,1
162,1,NOT ENOUGH INFO,SUPPORTS,3750,0,0,0
163,2,REFUTES,REFUTES,5671,1,1,1
164,2,SUPPORTS,SUPPORTS,6696,1,1,1
165,2,SUPPORTS,SUPPORTS,166,1,1,1
166,2,SUPPORTS,REFUTES,5291,0,0,0
167,2,NOT ENOUGH INFO,SUPPORTS,2733,0,0,0
168,1,REFUTES,REFUTES,5679,1,1,1
169,1,NOT_ENOUGH_INFO,SUPPORTS,2609,0,0,0
170,2,NOT ENOUGH INFO,NOT ENOUGH INFO,690,1,1,1
171,2,SUPPORTS,NOT ENOUGH INFO,3124,0,0,0
172,1,NOT ENOUGH INFO,REFUTES,6709,0,0,0
173,1,NOT ENOUGH INFO,NOT ENOUGH INFO,3253,1,1,1
174,1,REFUTES,REFUTES,4152,1,1,1
175,2,SUPPORTS,SUPPORTS,3129,1,1,1
176,2,SUPPORTS,SUPPORTS,3642,1,1,1
177,1,NOT ENOUGH INFO,NOT ENOUGH INFO,1720,1,1,1
178,1,SUPPORTS,SUPPORTS,2748,1,1,1
179,2,SUPPORTS,NOT ENOUGH INFO,3265,0,0,0
180,1,NOT ENOUGH INFO,REFUTES,6849,0,0,0
181,1,NOT ENOUGH INFO,SUPPORTS,4678,0,0,0
182,2,NOT ENOUGH INFO,NOT ENOUGH INFO,4679,1,1,1
183,1,NOT ENOUGH INFO,SUPPORTS,200,0,0,0
184,1,NOT ENOUGH INFO,NOT ENOUGH INFO,1224,1,1,1
185,2,REFUTES,REFUTES,716,1,1,1
186,1,NOT ENOUGH INFORMATION,NOT ENOUGH INFO,1614,0,0,0
187,1,NOT_ENOUGH_INFO,SUPPORTS,5711,0,0,0
188,2,NOT ENOUGH_INFO,SUPPORTS,1107,0,0,0
189,1,REFUTES,NOT ENOUGH INFO,84,0,0,0
190,2,REFUTES,NOT ENOUGH INFO,4179,0,0,0
191,1,NOT ENOUGH INFO,SUPPORTS,1114,0,0,0
192,2,REFUTES,REFUTES,7260,1,1,1
193,1,NOT ENOUGH INFORMATION,NOT ENOUGH INFO,6238,0,0,0
194,2,REFUTES,REFUTES,3687,1,1,1
195,2,SUPPORTS,NOT ENOUGH INFO,1129,0,0,0
196,1,NOT ENOUGH INFO,NOT ENOUGH INFO,7275,1,1,1
197,2,SUPPORTS,NOT ENOUGH INFO,7278,0,0,0
198,2,REFUTES,NOT ENOUGH INFO,5747,0,0,0
199,2,REFUTES,NOT ENOUGH INFO,3188,0,0,0
200,2,REFUTES,SUPPORTS,1534,0,0,0
